"tankID","X205A_origin","Basket","fishID","witroxChannel","respirometryChamber","witroxFileName","controlChamber","Date","mass_g","OBS","tempCelsius","tempKelvin","boltzmannK","invKT","lnMass_g","color","shape","timeDays","tankN","ch","respRate_mlO2_h","respRate_mgO2_h","respRate_gC_d","respRate_j_d","lnRespRate_j_d"
"32_1","",3,"32_1_3","2N",2,"32_C_new_witrox_1.txt","Control_32_1",2018-05-23,0.0816,"",32,305.15,8.62e-05,0.682790865741871,-2.50592601701208,"purple",24,41,"1","channel_2",0.0483078078252567,0.0690318573822919,0.000621286716440627,24.2301819411845,3.18759904372242
"32_2","",1,"32_2_1","3N",3,"32_C_new_witrox_1.txt","Control_32_1",2018-05-23,0.0715,"",32,305.15,8.62e-05,0.682790865741871,-2.63805782928218,"purple",24,41,"2","channel_3",0.0593741881573809,0.0848457148768973,0.000763611433892076,29.780845921791,3.39386543255394
"32_3","",1,"32_3_1","4N",4,"32_C_new_witrox_1.txt","Control_32_1",2018-05-23,0.086,"",32,305.15,8.62e-05,0.682790865741871,-2.45340798272863,"purple",24,41,"3","channel_4",0.0813457556334223,0.11624308480016,0.00104618776320144,40.8013227648563,3.70871450159184
"29_1","",1,"29_1_1","1N",1,"29_C_new_witrox_1.txt","Control_29_1",2018-05-24,0.1427,"",29,302.15,8.62e-05,0.305324711834194,-1.94701075449935,"seagreen3",23,42,"1","channel_1",0.102288654896596,0.146170487847236,0.00131553439062512,51.3058412343797,3.93780460991261
"29_1","",2,"29_1_2","2N",2,"29_C_new_witrox_1.txt","Control_29_1",2018-05-24,0.0684,"",29,302.15,8.62e-05,0.305324711834194,-2.68238245435363,"seagreen3",23,42,"1","channel_2",0.0463097926041029,0.066176693631263,0.000595590242681367,23.2280194645733,3.14535928548833
"29_1","",3,"29_1_3","3N",3,"29_C_new_witrox_1.txt","Control_29_1",2018-05-24,0.1042,"",29,302.15,8.62e-05,0.305324711834194,-2.26144314966287,"seagreen3",23,42,"1","channel_3",0.0604809577800981,0.0864272886677603,0.000777845598009842,30.3359783223838,3.41233441148849
"29_1","",4,"29_1_4","4N",4,"29_C_new_witrox_1.txt","Control_29_1",2018-05-24,0.0613,"",29,302.15,8.62e-05,0.305324711834194,-2.79197543603997,"seagreen3",23,42,"1","channel_4",0.0463413540866692,0.0662217949898503,0.000595996154908653,23.2438500414375,3.1460405826965
"29_2","",3,"29_2_3","1N",9,"29_C_new_witrox_2.txt","Control_29_1",2018-05-24,0.0462,"",29,302.15,8.62e-05,0.305324711834194,-3.07477548089444,"seagreen3",23,42,"2","channel_1",0.0390850902898968,0.0558525940242625,0.000502673346218363,19.6042605025161,2.97574691519183
"29_2","",4,"29_2_4","2N",10,"29_C_new_witrox_2.txt","Control_29_1",2018-05-24,0.06,"",29,302.15,8.62e-05,0.305324711834194,-2.81341071676004,"seagreen3",23,42,"2","channel_2",0.0287859545603811,0.0411351290667846,0.000370216161601061,14.4384303024414,2.6698934227388
"29_2","",5,"29_2_5","3N",11,"29_C_new_witrox_2.txt","Control_29_1",2018-05-24,0.0684,"",29,302.15,8.62e-05,0.305324711834194,-2.68238245435363,"seagreen3",23,42,"2","channel_3",0.0690420136580141,0.0986610375173022,0.00088794933765572,34.6300241685731,3.54472105632264
"29_3","",1,"29_3_1","4N",12,"29_C_new_witrox_2.txt","Control_29_1",2018-05-24,0.0758,"",29,302.15,8.62e-05,0.305324711834194,-2.57965698633381,"seagreen3",23,42,"3","channel_4",0.0448312672325485,0.0640638808753118,0.000576574927877806,22.4864221872344,3.11291166871097
"32_1","",4,"32_1_4","1N",1,"32_C_new_witrox_2.txt","Control_32_2",2018-05-24,0.0706,"",32,305.15,8.62e-05,0.682790865741871,-2.65072513448294,"purple",24,42,"1","channel_1",0.0510402899423,0.0729365743275467,0.000656429168947921,25.6007375889689,3.24262116313955
"32_3","",4,"32_3_4","2N",2,"32_C_new_witrox_2.txt","Control_32_2",2018-05-24,0.0448,"",32,305.15,8.62e-05,0.682790865741871,-3.1055471395612,"purple",24,42,"3","channel_2",0.0409152535986338,0.0584678973924477,0.000526211076532029,20.5222319847491,3.02150878557402
"32_4","",1,"32_4_1","3N",3,"32_C_new_witrox_2.txt","Control_32_2",2018-05-24,0.0885,"",32,305.15,8.62e-05,0.682790865741871,-2.42475272696825,"purple",24,42,"4","channel_3",0.0522688230300022,0.0746921481098731,0.000672229332988858,26.2169439865655,3.26640591878018
"32_4","",3,"32_4_3","4N",4,"32_C_new_witrox_2.txt","Control_32_2",2018-05-24,0.1015,"",32,305.15,8.62e-05,0.682790865741871,-2.2876964805003,"purple",24,42,"4","channel_4",0.0514257746051068,0.0734874319106976,0.000661386887196278,25.7940886006548,3.25014534166903
"32_4","",5,"32_4_5","1N",9,"32_C_new_witrox_3.txt","Control_32_2",2018-05-24,0.0843,"",32,305.15,8.62e-05,0.682790865741871,-2.47337341397433,"purple",24,42,"4","channel_1",0.0644994702352311,0.0921697429661452,0.000829527686695307,32.351579781117,3.47666285379219
"32_1","",2,"32_1_2","2N",10,"32_C_new_witrox_3.txt","Control_32_2",2018-05-24,0.0775,"",32,305.15,8.62e-05,0.682790865741871,-2.55747734262284,"purple",24,42,"1","channel_2",0.0844749502197055,0.120714703863959,0.00108643233477563,42.3708610562496,3.74646088674138
"32_2","",2,"32_2_2","3N",11,"32_C_new_witrox_3.txt","Control_32_2",2018-05-24,0.118,"",32,305.15,8.62e-05,0.682790865741871,-2.13707065451647,"purple",24,42,"2","channel_3",0.0668799851312679,0.0955714987525819,0.000860143488773237,33.5455960621562,3.51290558988832
"20_1","",1,"20_1_1","1N",1,"20_C_new_witrox_1.txt","Control_20_1",2018-05-25,0.0416,"",20,293.15,8.62e-05,-0.873428112981714,-3.17965511171492,"tomato",21,43,"1","channel_1",0.0307761960935724,0.043979184217715,0.000395812657959434,15.4366936604179,2.7367473805005
"20_1","",2,"20_1_2","2N",2,"20_C_new_witrox_1.txt","Control_20_1",2018-05-25,0.0336,"",20,293.15,8.62e-05,-0.873428112981714,-3.39322921201298,"tomato",21,43,"1","channel_2",0.0224389879716038,0.0320653138114218,0.000288587824302796,11.254925147809,2.42080582376431
"20_1","",3,"20_1_3","3N",3,"20_C_new_witrox_1.txt","Control_20_1",2018-05-25,0.0805,"",20,293.15,8.62e-05,-0.873428112981714,-2.51949809455762,"tomato",21,43,"1","channel_3",0.0490718170403308,0.0701236265506327,0.000631112638955694,24.6133929192721,3.20329072240406
"20_1","",4,"20_1_4","4N",4,"20_C_new_witrox_1.txt","Control_20_1",2018-05-25,0.0967,"",20,293.15,8.62e-05,-0.873428112981714,-2.33614187652289,"tomato",21,43,"1","channel_4",0.0327306163911469,0.0467720508229489,0.00042094845740654,16.4169898388551,2.79831676437177
"20_2","",4,"20_2_4","1N",1,"20_C_new_witrox_2.txt","Control_20_2",2018-05-25,0.0309,"",20,293.15,8.62e-05,-0.873428112981714,-3.47699909507844,"tomato",21,43,"2","channel_1",0.0211789781106404,0.0302647597201051,0.000272382837480946,10.6229306617569,2.36301493459564
"20_2","",5,"20_2_5","2N",2,"20_C_new_witrox_2.txt","Control_20_2",2018-05-25,0.0649,"",20,293.15,8.62e-05,-0.873428112981714,-2.73490765527209,"tomato",21,43,"2","channel_2",0.0234990188934076,0.0335800979986794,0.000302220881988115,11.7866143975365,2.46696451449335
"20_3","",1,"20_3_1","3N",3,"20_C_new_witrox_2.txt","Control_20_2",2018-05-25,0.0769,"",20,293.15,8.62e-05,-0.873428112981714,-2.56524940247054,"tomato",21,43,"3","channel_3",0.0260809388992494,0.0372696616870274,0.000335426955183247,13.0816512521466,2.57121058057999
"20_3","",2,"20_3_2","4N",4,"20_C_new_witrox_2.txt","Control_20_2",2018-05-25,0.0563,"",20,293.15,8.62e-05,-0.873428112981714,-2.87706074383649,"tomato",21,43,"3","channel_4",0.0274056655823102,0.0391626961171213,0.000352464265054092,13.7461063371096,2.62075560852789
"20_4","",1,"20_4_1","1N",9,"20_C_new_witrox_3.txt","Control_20_2",2018-05-25,0.0784,"",20,293.15,8.62e-05,-0.873428112981714,-2.54593135162578,"tomato",21,43,"4","channel_1",0.0330691130270871,0.0472557625157075,0.000425301862641368,16.5867726430133,2.8086055489916
"20_4","",2,"20_4_2","2N",10,"20_C_new_witrox_3.txt","Control_20_2",2018-05-25,0.0918,"",20,293.15,8.62e-05,-0.873428112981714,-2.38814298135569,"tomato",21,43,"4","channel_2",0.041377660901034,0.0591286774275777,0.000532158096848199,20.7541657770798,3.03274698686824
"20_4","",3,"20_4_3","3N",11,"20_C_new_witrox_3.txt","Control_20_2",2018-05-25,0.074,"",20,293.15,8.62e-05,-0.873428112981714,-2.60369018577797,"tomato",21,43,"4","channel_3",0.0260817499006946,0.0372708206080926,0.000335437385472833,13.0820580334405,2.57124167565825
"20_4","",4,"20_4_4","4N",12,"20_C_new_witrox_3.txt","Control_20_2",2018-05-25,0.058,"",20,293.15,8.62e-05,-0.873428112981714,-2.84731226843572,"tomato",21,43,"4","channel_4",0.0377818956627833,0.0539903289021174,0.000485912960119056,18.9506054446432,2.94183588060345
"29_3","",5,"29_3_5","1N",9,"29_C_new_witrox_3.txt","Control_29_3",2018-05-25,0.1029,"",29,302.15,8.62e-05,0.305324711834194,-2.27399763614213,"seagreen3",23,43,"3","channel_1",0.0606463018854372,0.0866635653942897,0.000779972088548607,30.4189114533957,3.41506450227885
"29_4","",1,"29_4_1","2N",10,"29_C_new_witrox_3.txt","Control_29_3",2018-05-25,0.078,"",29,302.15,8.62e-05,0.305324711834194,-2.55104645229255,"seagreen3",23,43,"4","channel_2",0.0628799031852002,0.089855381651651,0.000808698434864859,31.5392389597295,3.45123245187565
"29_4","",2,"29_4_2","3N",11,"29_C_new_witrox_3.txt","Control_29_3",2018-05-25,0.1051,"",29,302.15,8.62e-05,0.305324711834194,-2.25284300109923,"seagreen3",23,43,"4","channel_3",0.0621565075559419,0.0888216492974409,0.000799394843676968,31.1763989034018,3.43966136316246
"29_4","",3,"29_4_3","4N",12,"29_C_new_witrox_3.txt","Control_29_3",2018-05-25,0.1064,"",29,302.15,8.62e-05,0.305324711834194,-2.24054970207459,"seagreen3",23,43,"4","channel_4",0.0816810206584819,0.116722178520971,0.00105049960668874,40.9694846608607,3.71282751302863
"26_3","",3,"26_3_3","1N",1,"26_C_new_witrox_4.txt","Control_26_4",2018-05-30,0.1157,"",26,299.15,8.62e-05,-0.0797122156768461,-2.15675464478251,"dodgerblue2",22,48,"3","channel_1",0.0383737718292365,0.054836119943979,0.000493525079495811,19.2474781003366,2.9573800443768
"26_1","",2,"26_1_2","2N",2,"26_C_new_witrox_4.txt","Control_26_4",2018-05-30,0.1341,"",26,299.15,8.62e-05,-0.0797122156768461,-2.0091694886945,"dodgerblue2",22,48,"1","channel_2",0.0542840673613887,0.0775719322594245,0.000698147390334821,27.227748223058,3.30423660855669
"26_1","",3,"26_1_3","3N",3,"26_C_new_witrox_4.txt","Control_26_4",2018-05-30,0.0715,"",26,299.15,8.62e-05,-0.0797122156768461,-2.63805782928218,"dodgerblue2",22,48,"1","channel_3",0.0405547202808069,0.057952695281273,0.000521574257531457,20.3413960437268,3.01265802364991
"26_3","",1,"26_3_1","4N",4,"26_C_new_witrox_4.txt","Control_26_4",2018-05-30,0.1473,"",26,299.15,8.62e-05,-0.0797122156768461,-1.91528395551355,"dodgerblue2",22,48,"3","channel_4",0.047590827448738,0.0680072924242466,0.00061206563181822,23.8705596409106,3.17264588544291
"26_2","",1,"26_2_1","1N",9,"26_C_new_witrox_5.txt","Control_26_4",2018-05-30,0.1058,"",26,299.15,8.62e-05,-0.0797122156768461,-2.24620475955794,"dodgerblue2",22,48,"2","channel_1",0.0555700804806932,0.0794096450069107,0.000714686805062196,27.8727853974256,3.32765077899817
"26_1","",1,"26_1_1","2N",10,"26_C_new_witrox_5.txt","Control_26_4",2018-05-30,0.0899,"",26,299.15,8.62e-05,-0.0797122156768461,-2.40905733750456,"dodgerblue2",22,48,"1","channel_2",0.0531526172039133,0.0759550899843922,0.000683595809859529,26.6602365845216,3.28317318884928
"26_2","",4,"26_2_4","3N",11,"26_C_new_witrox_5.txt","Control_26_4",2018-05-30,0.1328,"",26,299.15,8.62e-05,-0.0797122156768461,-2.0189110419398,"dodgerblue2",22,48,"2","channel_3",0.0512343787142761,0.0732139271827006,0.000658925344644305,25.6980884411279,3.24641660941222
"26_4","",1,"26_4_1","4N",12,"26_C_new_witrox_5.txt","Control_26_4",2018-05-30,0.1442,"",26,299.15,8.62e-05,-0.0797122156768461,-1.93655405413129,"dodgerblue2",22,48,"4","channel_4",0.0805521052325883,0.115108958377369,0.00103598062539632,40.4032443904564,3.69891008843716
"26_1","",5,"26_1_5","1N",9,"26_C_new_witrox_6.txt","Control_26_6",2018-05-30,0.1459,"",26,299.15,8.62e-05,-0.0797122156768461,-1.9248338234534,"dodgerblue2",22,48,"1","channel_1",0.0957319080785519,0.136800896644251,0.00123120806979826,48.017114722132,3.87155750406774
"26_3","",2,"26_3_2","2N",10,"26_C_new_witrox_6.txt","Control_26_6",2018-05-30,0.1782,"",26,299.15,8.62e-05,-0.0797122156768461,-1.72484876394543,"dodgerblue2",22,48,"3","channel_2",0.078881311817607,0.11272139458736,0.00101449255128624,39.5652095001635,3.67795018413531
"26_2","",3,"26_2_3","3N",11,"26_C_new_witrox_6.txt","Control_26_6",2018-05-30,0.0908,"",26,299.15,8.62e-05,-0.0797122156768461,-2.39909599337489,"dodgerblue2",22,48,"2","channel_3",0.0327632247314273,0.0468186481412096,0.000421367833270886,16.4333454975646,2.79931253259717
"26_2","",2,"26_2_2","4N",12,"26_C_new_witrox_6.txt","Control_26_6",2018-05-30,0.1136,"",26,299.15,8.62e-05,-0.0797122156768461,-2.17507177269509,"dodgerblue2",22,48,"2","channel_4",0.086184997789251,0.12315836184084,0.00110842525656756,43.2285850061347,3.76650196638661
"32_2","",3,"32_2_3","1N",1,"32_C_new_witrox_4.txt","Control_32_4",2018-05-30,0.1127,"",32,305.15,8.62e-05,0.682790865741871,-2.18302585793641,"purple",24,48,"2","channel_1",0.0805279091759155,0.115074382212383,0.00103566943991145,40.3911081565465,3.69860966560763
"32_2","",4,"32_2_4","2N",2,"32_C_new_witrox_4.txt","Control_32_4",2018-05-30,0.1142,"",32,305.15,8.62e-05,0.682790865741871,-2.16980398176023,"purple",24,48,"2","channel_2",0.0611774996901007,0.0874226470571539,0.000786803823514385,30.685349117061,3.42378531322659
"32_4","",4,"32_4_4","3N",3,"32_C_new_witrox_4.txt","Control_32_4",2018-05-30,0.1543,"",32,305.15,8.62e-05,0.682790865741871,-1.86885651961302,"purple",24,48,"4","channel_3",0.119063094673568,0.170141162288529,0.00153127046059676,59.7195479632736,4.08965940337365
"32_1","",3,"32_1_3","4N",4,"32_C_new_witrox_4.txt","Control_32_4",2018-05-30,0.1261,"",32,305.15,8.62e-05,0.682790865741871,-2.07068003601126,"purple",24,48,"1","channel_4",0.0282069875208927,0.0403077851673556,0.000362770066506201,14.1480325937418,2.64957557511085
"29_2","",4,"29_2_4","1N",1,"29_C_new_witrox_4.txt","Control_29_4",2018-05-31,0.0984,"",29,302.15,8.62e-05,0.305324711834194,-2.31871447492393,"seagreen3",23,49,"2","channel_1",0.0812167594298208,0.116058749225214,0.00104452874302693,40.7366209780501,3.70712746622115
"29_2","",3,"29_2_3","2N",2,"29_C_new_witrox_4.txt","Control_29_4",2018-05-31,0.086,"",29,302.15,8.62e-05,0.305324711834194,-2.45340798272863,"seagreen3",23,49,"2","channel_2",0.0785212355454066,0.112206845594386,0.00100986161034947,39.3846028036295,3.67337494813883
"29_1","",2,"29_1_2","3N",3,"29_C_new_witrox_4.txt","Control_29_4",2018-05-31,0.103,"",29,302.15,8.62e-05,0.305324711834194,-2.2730262907525,"seagreen3",23,49,"1","channel_3",0.0748498143226646,0.106960384667088,0.00096264346200379,37.5430950181478,3.6254894736349
"29_2","",2,"29_2_2","4N",4,"29_C_new_witrox_4.txt","Control_29_4",2018-05-31,0.1228,"",29,302.15,8.62e-05,0.305324711834194,-2.0971982632691,"seagreen3",23,49,"2","channel_4",0.0524503033751784,0.0749514835231299,0.000674563351708169,26.3079707166186,3.26987196234052
"29_1","",1,"29_1_1","1N",9,"29_C_new_witrox_5.txt","Control_29_4",2018-05-31,0.22,"",29,302.15,8.62e-05,0.305324711834194,-1.51412773262978,"seagreen3",23,49,"1","channel_1",0.100567399828229,0.143710814354539,0.00129339732919085,50.442495838443,3.92083399120569
"29_3","",3,"29_3_3","2N",10,"29_C_new_witrox_5.txt","Control_29_4",2018-05-31,0.1995,"",29,302.15,8.62e-05,0.305324711834194,-1.61194104265222,"seagreen3",23,49,"3","channel_2",0.106388838276369,0.152029649896931,0.00136826684907238,53.3624071138228,3.97710651141867
"29_3","",1,"29_3_1","3N",11,"29_C_new_witrox_5.txt","Control_29_4",2018-05-31,0.1061,"",29,302.15,8.62e-05,0.305324711834194,-2.2433732333622,"seagreen3",23,49,"3","channel_3",0.0437128012260324,0.0624655929520003,0.000562190336568002,21.9254231261521,3.0876468368703
"29_1","",3,"29_1_3","4N",12,"29_C_new_witrox_5.txt","Control_29_4",2018-05-31,0.153,"",29,302.15,8.62e-05,0.305324711834194,-1.8773173575897,"seagreen3",23,49,"1","channel_4",0.086707144958116,0.123904510145148,0.00111514059130633,43.4904830609469,3.77254213395064
"32_4","",3,"32_4_3","1N",1,"32_C_new_witrox_5.txt","Control_32_5",2018-05-31,0.1651,"",32,305.15,8.62e-05,0.682790865741871,-1.80120392805605,"purple",24,49,"4","channel_1",0.0966223614707853,0.138073354541752,0.00124266019087577,48.463747444155,3.88081604306618
"32_1","",4,"32_1_4","2N",2,"32_C_new_witrox_5.txt","Control_32_5",2018-05-31,0.1214,"",32,305.15,8.62e-05,0.682790865741871,-2.10866440035674,"purple",24,49,"1","channel_2",0.0716155065336192,0.102338558836542,0.000921047029528877,35.9208341516262,3.58131746564839
"32_4","",5,"32_4_5","3N",3,"32_C_new_witrox_5.txt","Control_32_5",2018-05-31,0.1271,"",32,305.15,8.62e-05,0.682790865741871,-2.06278110078673,"purple",24,49,"4","channel_3",0.0791011049755278,0.113035479010029,0.00101731931109026,39.6754531325203,3.68073268745677
"32_4","",2,"32_4_2","4N",4,"32_C_new_witrox_5.txt","Control_32_5",2018-05-31,0.12,"",32,305.15,8.62e-05,0.682790865741871,-2.12026353620009,"purple",24,49,"4","channel_4",0.0698087990375299,0.0997567738246303,0.000897810964421672,35.0146276124452,3.5557659059644
"32_3","",4,"32_3_4","1N",9,"32_C_new_witrox_6.txt","Control_32_5",2018-05-31,0.0889,"",32,305.15,8.62e-05,0.682790865741871,-2.42024313646228,"purple",24,49,"3","channel_1",0.0601251864457936,0.085918891431039,0.000773270022879351,30.1575308922947,3.40643467282212
"32_2","",2,"32_2_2","2N",10,"32_C_new_witrox_6.txt","Control_32_5",2018-05-31,0.1985,"",32,305.15,8.62e-05,0.682790865741871,-1.61696617885489,"purple",24,49,"2","channel_2",0.102127819166125,0.145940653588392,0.00131346588229553,51.2251694095257,3.93623100128447
"32_3","",5,"32_3_5","3N",11,"32_C_new_witrox_6.txt","Control_32_5",2018-05-31,0.1082,"",32,305.15,8.62e-05,0.682790865741871,-2.22377391256976,"purple",24,49,"3","channel_3",0.0571391908673855,0.0816519037494939,0.000734867133745445,28.6598182160724,3.35549607960504
"32_1","",5,"32_1_5","4N",12,"32_C_new_witrox_6.txt","Control_32_5",2018-05-31,0.1594,"",32,305.15,8.62e-05,0.682790865741871,-1.83633851262602,"purple",24,49,"1","channel_4",0.146353445145247,0.209139073112558,0.00188225165801302,73.407814662508,4.29603039674495
"20_1","",2,"20_1_2","1N",1,"20_C_new_witrox_4.txt","Control_20_4",2018-06-01,0.0581,"",20,293.15,8.62e-05,-0.873428112981714,-2.84558961512427,"tomato",21,50,"1","channel_1",0.0254108773574442,0.0363121437437877,0.00032680929369409,12.7455624540695,2.5451831682054
"20_1","",3,"20_1_3","2N",2,"20_C_new_witrox_4.txt","Control_20_4",2018-06-01,0.1008,"",20,293.15,8.62e-05,-0.873428112981714,-2.29461692334487,"tomato",21,50,"1","channel_2",0.0348767990520211,0.0498389458453382,0.000448550512608044,17.4934699917137,2.86182766796353
"20_2","",2,"20_2_2","3N",3,"20_C_new_witrox_4.txt","Control_20_4",2018-06-01,0.0469,"",20,293.15,8.62e-05,-0.873428112981714,-3.0597376035299,"tomato",21,50,"2","channel_3",0.0299584836594879,0.0428106731494082,0.000385296058344674,15.0265462754423,2.70981838863301
"20_2","",1,"20_2_1","4N",4,"20_C_new_witrox_4.txt","Control_20_4",2018-06-01,0.0913,"",20,293.15,8.62e-05,-0.873428112981714,-2.39360449138121,"tomato",21,50,"2","channel_4",0.0294821384345975,0.0421299758230399,0.000379169782407359,14.787621513887,2.69379044660883
"20_4","",4,"20_4_4","1N",1,"20_C_new_witrox_5.txt","Control_20_5",2018-06-01,0.0882,"",20,293.15,8.62e-05,-0.873428112981714,-2.42814831596939,"tomato",21,50,"4","channel_1",0.0438597133708683,0.0626755304069708,0.000564079773662737,21.9991111728467,3.09100205130792
"20_3","",1,"20_3_1","2N",2,"20_C_new_witrox_5.txt","Control_20_5",2018-06-01,0.1147,"",20,293.15,8.62e-05,-0.873428112981714,-2.16543525484681,"tomato",21,50,"3","channel_2",0.0478710185804742,0.0684076855514976,0.000615669169963478,24.0110976285757,3.17851612466411
"20_2","",4,"20_2_4","3N",3,"20_C_new_witrox_5.txt","Control_20_5",2018-06-01,0.0455,"",20,293.15,8.62e-05,-0.873428112981714,-3.09004295302523,"tomato",21,50,"2","channel_3",0.0537490637240267,0.0768074120616342,0.000691266708554708,26.9594016336336,3.29433209119964
"20_4","",3,"20_4_3","4N",4,"20_C_new_witrox_5.txt","Control_20_5",2018-06-01,0.0998,"",20,293.15,8.62e-05,-0.873428112981714,-2.30458709566472,"tomato",21,50,"4","channel_4",0.0251237551902882,0.0359018461669218,0.000323116615502296,12.6015480045895,2.53381966391817
"20_3","",4,"20_3_4","1N",9,"20_C_new_witrox_6.txt","Control_20_5",2018-06-01,0.088,"",20,293.15,8.62e-05,-0.873428112981714,-2.43041846450393,"tomato",21,50,"3","channel_1",0.0362603990432033,0.0518161102327375,0.000466344992094638,18.1874546916909,2.9007320537501
"20_2","",3,"20_2_3","2N",10,"20_C_new_witrox_6.txt","Control_20_5",2018-06-01,0.057,"",20,293.15,8.62e-05,-0.873428112981714,-2.86470401114759,"tomato",21,50,"2","channel_2",0.0341682714810404,0.0488264599464067,0.00043943813951766,17.1380874411887,2.84130332241554
"20_4","",5,"20_4_5","3N",11,"20_C_new_witrox_6.txt","Control_20_5",2018-06-01,0.1238,"",20,293.15,8.62e-05,-0.873428112981714,-2.08908791873164,"tomato",21,50,"4","channel_3",0.0678893186560022,0.0970138363594272,0.000873124527234845,34.0518565621589,3.52788455569528
"20_3","",5,"20_3_5","4N",12,"20_C_new_witrox_6.txt","Control_20_5",2018-06-01,0.0968,"",20,293.15,8.62e-05,-0.873428112981714,-2.33510828469961,"tomato",21,50,"3","channel_4",0.0471946507896559,0.0674411559784183,0.000606970403805764,23.6718457484248,3.16428639887293
"29_4","",3,"29_4_3","1N",9,"29_C_new_witrox_6.txt","Control_29_6",2018-06-01,0.1713,"",29,302.15,8.62e-05,0.305324711834194,-1.76433887365206,"seagreen3",23,50,"4","channel_1",0.102118413625572,0.145927213070943,0.00131334491763848,51.2204517879009,3.9361389012694
